tick;adc
0;12
1;12
2;9
3;9
4;12
5;12
6;12
7;12
8;12
9;12
10;12
11;12
12;9
13;9
14;7
15;7
16;7
17;4
18;4
19;4
20;4
21;2
22;4
23;4
24;4
25;4
26;4
27;4
28;2
29;4
30;4
31;4
32;4
33;4
34;4
35;4
36;4
37;4
38;2
39;2
40;2
41;2
42;4
43;4
44;4
45;2
46;4
47;4
48;2
49;4
50;4
51;2
52;4
53;2
54;4
55;4
56;4
57;4
58;4
59;4
60;4
61;4
62;4
63;4
64;7
65;7
66;7
67;7
68;7
69;9
70;7
71;9
72;7
73;9
74;9
75;9
76;9
77;9
78;9
79;9
80;7
81;7
82;7
83;7
84;7
85;4
86;4
87;2
88;4
89;2
90;2
91;4
92;2
93;2
94;2
95;4
96;4
97;4
98;7
99;7
100;9
101;9
102;9
103;12
104;12
105;14
106;14
107;14
108;14
109;14
110;12
111;14
112;14
113;14
114;14
115;14
116;14
117;12
118;12
119;9
120;9
121;9
122;7
123;4
124;4
125;2
126;4
127;7
128;7
129;9
130;9
131;9
132;9
133;9
134;12
135;12
136;12
137;12
138;12
139;12
140;12
141;12
142;14
143;19
144;27
145;29
146;29
147;29
148;27
149;27
150;24
151;24
152;24
153;22
154;22
155;19
156;17
157;17
158;19
159;22
160;24
161;39
162;61
163;95
164;122
165;144
166;179
167;213
168;245
169;280
170;302
171;326
172;346
173;353
174;361
175;361
176;353
177;343
178;331
179;316
180;307
181;289
182;275
183;260
184;245
185;228
186;211
187;201
188;186
189;179
190;169
191;157
192;149
193;140
194;135
195;132
196;130
197;127
198;122
199;120
200;117
201;115
202;113
203;110
204;105
205;100
206;95
207;88
208;88
209;81
210;78
211;73
212;71
213;68
214;63
215;61
216;56
217;54
218;51
219;51
220;54
221;56
222;58
223;63
224;66
225;68
226;68
227;73
228;76
229;76
230;78
231;81
232;81
233;81
234;78
235;76
236;73
237;71
238;68
239;68
240;66
241;66
242;63
243;63
244;63
245;66
246;73
247;85
248;98
249;108
250;115
251;120
252;122
253;127
254;132
255;142
256;149
257;159
258;186
259;211
260;226
261;238
262;248
263;265
264;277
265;282
266;289
267;307
268;326
269;339
270;353
271;383
272;415
273;439
274;464
275;491
276;511
277;525
278;530
279;533
280;528
281;525
282;533
283;543
284;557
285;579
286;594
287;601
288;611
289;638
290;663
291;678
292;695
293;695
294;685
295;665
296;648
297;631
298;626
299;646
300;690
301;717
302;734
303;744
304;756
305;791
306;847
307;884
308;963
309;1046
310;1083
311;1108
312;1115
313;1105
314;1088
315;1071
316;1054
317;1046
318;1058
319;1081
320;1090
321;1093
322;1095
323;1100
324;1142
325;1184
326;1194
327;1194
328;1176
329;1167
330;1144
331;1125
332;1100
333;1095
334;1100
335;1103
336;1108
337;1108
338;1105
339;1130
340;1147
341;1152
342;1167
343;1176
344;1189
345;1194
346;1189
347;1213
348;1262
349;1272
350;1270
351;1280
352;1285
353;1267
354;1233
355;1196
356;1162
357;1142
358;1130
359;1113
360;1095
361;1071
362;1044
363;1041
364;1031
365;1027
366;1056
367;1078
368;1088
369;1090
370;1086
371;1083
372;1108
373;1127
374;1142
375;1142
376;1142
377;1149
378;1181
379;1189
380;1191
381;1216
382;1216
383;1203
384;1186
385;1186
386;1216
387;1260
388;1299
389;1321
390;1321
391;1336
392;1341
393;1336
394;1346
395;1346
396;1329
397;1321
398;1375
399;1405
400;1417
401;1439
402;1481
403;1516
404;1525
405;1545
406;1616
407;1670
408;1692
409;1705
410;1761
411;1818
412;1842
413;1825
414;1796
415;1746
416;1702
417;1653
418;1636
419;1629
420;1599
421;1570
422;1565
423;1594
424;1626
425;1619
426;1597
427;1560
428;1501
429;1444
430;1378
431;1324
432;1265
433;1179
434;1115
435;1063
436;1014
437;960
438;916
439;845
440;793
441;742
442;690
443;643
444;601
445;570
446;523
447;491
448;461
449;432
450;412
451;385
452;366
453;339
454;316
455;297
456;272
457;255
458;235
459;218
460;203
461;189
462;176
463;164
464;154
465;144
466;137
467;127
468;120
469;110
470;105
471;100
472;93
473;90
474;88
475;85
476;83
477;81
478;76
479;71
480;68
481;63
482;61
483;58
484;54
485;51
486;49
487;46
488;44
489;41
490;39
491;39
492;36
493;36
494;36
495;34
496;31
497;31
498;31
499;34
500;34
501;34
502;36
503;36
504;39
505;41
506;44
507;44
508;44
509;44
510;41
511;44
512;41
513;39
514;36
515;36
516;34
517;34
518;31
519;31
520;34
521;31
522;31
523;31
524;31
525;31
526;31
527;29
528;29
529;29
530;29
531;29
532;29
533;29
534;29
535;29
536;29
537;29
538;29
539;29
540;27
541;24
542;24
543;29
544;39
545;46
546;49
547;49
548;51
549;51
550;51
551;51
552;51
553;49
554;49
555;46
556;44
557;44
558;41
559;41
560;44
561;46
562;46
563;46
564;46
565;44
566;41
567;39
568;36
569;34
570;31
571;29
572;27
573;24
574;24
575;22
576;22
577;24
578;27
579;27
580;27
581;29
582;29
583;29
584;31
585;31
586;29
587;29
588;29
589;27
590;24
591;24
592;22
593;24
594;24
595;24
596;24
597;24
598;24
599;22
600;22
601;22
602;19
603;19
604;17
605;14
606;14
607;14
608;12
609;12
610;12
611;12
612;12
613;14
614;14
615;12
616;14
617;14
618;14
619;14
620;17
621;19
622;19
623;19
624;22
625;22
626;22
627;22
628;24
629;24
630;24
631;24
632;24
633;24
634;24
635;24
636;22
637;22
638;19
639;19
640;17
641;14
642;14
643;12
644;12
645;12
646;12
647;12
648;12
649;12
650;9
651;9
652;7
653;7
654;7
655;7
656;4
657;7
658;7
659;7
660;7
661;7
662;9
663;7
664;7
665;7
666;7
667;7
668;7
669;7
670;7
671;7
672;7
673;7
674;4
675;4
676;4
677;4
678;2
679;4
680;4
681;4
682;4
683;4
684;7
685;4
686;4
687;4
