tick;adc
0;12
1;12
2;12
3;12
4;12
5;12
6;12
7;12
8;12
9;14
10;14
11;17
12;17
13;17
14;17
15;17
16;14
17;14
18;14
19;12
20;12
21;12
22;9
23;12
24;12
25;12
26;12
27;12
28;12
29;9
30;7
31;7
32;7
33;7
34;9
35;9
36;7
37;7
38;7
39;7
40;7
41;7
42;7
43;7
44;7
45;7
46;7
47;7
48;7
49;7
50;7
51;7
52;7
53;7
54;9
55;9
56;9
57;9
58;9
59;9
60;12
61;12
62;12
63;12
64;12
65;12
66;12
67;12
68;14
69;14
70;14
71;12
72;12
73;12
74;12
75;12
76;9
77;9
78;9
79;9
80;7
81;9
82;9
83;12
84;12
85;14
86;14
87;14
88;14
89;14
90;12
91;14
92;12
93;14
94;14
95;14
96;14
97;14
98;14
99;14
100;14
101;12
102;12
103;12
104;12
105;12
106;9
107;9
108;9
109;7
110;7
111;7
112;7
113;7
114;9
115;7
116;7
117;7
118;7
119;7
120;7
121;7
122;9
123;9
124;14
125;17
126;22
127;22
128;22
129;22
130;27
131;29
132;31
133;34
134;34
135;34
136;36
137;41
138;44
139;44
140;44
141;49
142;58
143;81
144;110
145;144
146;199
147;275
148;331
149;371
150;427
151;474
152;533
153;619
154;746
155;879
156;1012
157;1152
158;1258
159;1344
160;1464
161;1552
162;1643
163;1727
164;1805
165;1864
166;1914
167;1948
168;2004
169;2105
170;2213
171;2280
172;2336
173;2427
174;2496
175;2599
176;2665
177;2700
178;2707
179;2705
180;2724
181;2764
182;2842
183;2894
184;2921
185;2980
186;3078
187;3262
188;3368
189;3454
190;3523
191;3636
192;3707
193;3828
194;3828
195;3825
196;3828
197;3825
198;3830
199;3830
200;3830
201;3820
202;3830
203;3820
204;3828
205;3815
206;3830
207;3830
208;3830
209;3830
210;3823
211;3823
212;3818
213;3828
214;3830
215;3830
216;3813
217;3830
218;3825
219;3828
220;3830
221;3830
222;3830
223;3825
224;3830
225;3828
226;3830
227;3828
228;3830
229;3830
230;3823
231;3830
232;3830
233;3828
234;3815
235;3825
236;3825
237;3828
238;3825
239;3818
240;3830
241;3833
242;3830
243;3830
244;3828
245;3833
246;3828
247;3833
248;3833
249;3828
250;3828
251;3828
252;3815
253;3830
254;3833
255;3830
256;3828
257;3830
258;3825
259;3830
260;3820
261;3818
262;3823
263;3823
264;3830
265;3818
266;3825
267;3828
268;3830
269;3828
270;3828
271;3830
272;3830
273;3830
274;3830
275;3833
276;3830
277;3825
278;3833
279;3830
280;3830
281;3823
282;3813
283;3833
284;3810
285;3754
286;3646
287;3523
288;3385
289;3231
290;3108
291;2955
292;2835
293;2646
294;2518
295;2393
296;2235
297;2098
298;1953
299;1845
300;1722
301;1614
302;1501
303;1405
304;1285
305;1213
306;1130
307;1054
308;982
309;906
310;842
311;783
312;732
313;680
314;631
315;584
316;540
317;501
318;461
319;434
320;402
321;371
322;348
323;326
324;307
325;287
326;267
327;248
328;223
329;211
330;194
331;181
332;171
333;157
334;142
335;135
336;122
337;113
338;108
339;100
340;95
341;88
342;83
343;78
344;73
345;71
346;66
347;63
348;61
349;56
350;51
351;49
352;44
353;41
354;39
355;36
356;36
357;34
358;31
359;31
360;29
361;29
362;27
363;27
364;24
365;24
366;24
367;24
368;24
369;22
370;22
371;19
372;19
373;19
374;19
375;22
376;22
377;22
378;22
379;22
380;24
381;24
382;22
383;22
384;24
385;24
386;24
387;24
388;24
389;24
390;24
391;22
392;24
393;24
394;24
395;24
396;22
397;22
398;22
399;22
400;22
401;22
402;24
403;22
404;22
405;22
406;22
407;19
408;19
409;19
410;19
411;17
412;17
413;17
414;14
415;14
416;14
417;14
418;14
419;14
420;12
421;12
422;12
423;9
424;9
425;9
426;9
427;9
428;9
429;9
430;9
431;9
432;12
433;12
434;12
435;12
436;12
437;12
438;12
439;12
440;14
441;14
442;12
443;14
444;14
445;14
446;14
447;14
448;14
449;14
450;14
451;17
452;17
453;17
454;17
455;19
456;19
457;19
458;19
459;19
460;17
461;17
462;17
463;17
464;17
465;14
466;14
467;12
468;12
469;12
470;12
471;9
472;7
473;9
474;9
475;9
476;9
477;9
478;9
479;9
480;12
481;12
482;12
483;12
484;12
485;12
486;12
487;12
488;12
489;9
490;9
491;12
492;12
493;9
494;12
495;9
496;9
497;12
498;12
499;12
500;12
501;14
